instrument,ADAUSDT_PERP,AVAXUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETHUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MATICUSDT_PERP,SOLUSDT_PERP,UNIUSDT_PERP,XRPUSDT_PERP
ADAUSDT_PERP,1.0,0.6361644282335812,0.4928817588044612,0.5760773402409678,0.6145605946637712,0.6854874392751157,0.7609374116695123,0.7893308126163878,0.7176188741430116,0.6835734273981389,0.5503521096493575,0.6362597691645588,0.6845774580325067,0.650910715244036,0.5626139048029988
AVAXUSDT_PERP,0.6361644282335812,1.0,0.4581056421149336,0.6293587227081576,0.6490688795200196,0.5580323274979327,0.7838598997817011,0.6194935623477983,0.710606882190213,0.6143844114023503,0.5702067389177636,0.6314361774035788,0.6817674294337487,0.5443964887744326,0.47326874969442884
BCHUSDT_PERP,0.4928817588044612,0.4581056421149336,1.0,0.5138195369960663,0.670254543078199,0.6506995235391546,0.6218641095922153,0.6703178374368906,0.6433130496844676,0.6556294639062679,0.7355460969026655,0.4322278626315396,0.56390396416971,0.59910461595404,0.5151324150098093
BNBUSDT_PERP,0.5760773402409678,0.6293587227081576,0.5138195369960663,1.0,0.6149307045495044,0.6620415951296117,0.6757743544421694,0.6762447101059059,0.7311990273587767,0.5518428087340418,0.6234594585079988,0.6412956734179752,0.6276281633332277,0.5546192292880285,0.3934534405842278
BTCUSDT_PERP,0.6145605946637712,0.6490688795200196,0.670254543078199,0.6149307045495044,1.0,0.6006055568012714,0.7356769862471849,0.6612583691151535,0.8054599587694155,0.6710447988039083,0.672841369143701,0.43331675606206826,0.6855302862956233,0.5692286391500798,0.5983034808000764
DOGEUSDT_PERP,0.6854874392751157,0.5580323274979327,0.6506995235391546,0.6620415951296117,0.6006055568012714,1.0,0.689738431216036,0.7617896920165731,0.6962152786285947,0.694431327380212,0.718574716846038,0.5988019677828946,0.675404073373552,0.6980503886096663,0.5845056437768428
DOTUSDT_PERP,0.7609374116695123,0.7838598997817011,0.6218641095922153,0.6757743544421694,0.7356769862471849,0.689738431216036,1.0,0.776112877668572,0.8242016107030412,0.737252872767464,0.6936406130459699,0.6872060962306531,0.7459052056698521,0.7450695954437848,0.5442162345195594
EOSUSDT_PERP,0.7893308126163878,0.6194935623477983,0.6703178374368906,0.6762447101059059,0.6612583691151535,0.7617896920165731,0.776112877668572,1.0,0.7987701734497393,0.7038066883672498,0.7120016257944225,0.6984272754532848,0.6584204557298682,0.6938101635779482,0.5846101773258298
ETHUSDT_PERP,0.7176188741430116,0.710606882190213,0.6433130496844676,0.7311990273587767,0.8054599587694155,0.6962152786285947,0.8242016107030412,0.7987701734497393,1.0,0.71444027585446,0.7556837780978536,0.6519283490733873,0.7198631111841705,0.7007770571511927,0.5816725171077245
LINKUSDT_PERP,0.6835734273981389,0.6143844114023503,0.6556294639062679,0.5518428087340418,0.6710447988039083,0.694431327380212,0.737252872767464,0.7038066883672498,0.71444027585446,1.0,0.6203305753913039,0.6262200717755164,0.6883020699362428,0.7334890208420958,0.5241356787353927
LTCUSDT_PERP,0.5503521096493575,0.5702067389177636,0.7355460969026655,0.6234594585079988,0.672841369143701,0.718574716846038,0.6936406130459699,0.7120016257944225,0.7556837780978536,0.6203305753913039,1.0,0.59185934497137,0.504687830596581,0.6242004987844932,0.6080948662787121
MATICUSDT_PERP,0.6362597691645588,0.6314361774035788,0.4322278626315396,0.6412956734179752,0.43331675606206826,0.5988019677828946,0.6872060962306531,0.6984272754532848,0.6519283490733873,0.6262200717755164,0.59185934497137,1.0,0.5360917980125143,0.6351424289698798,0.41137224402485256
SOLUSDT_PERP,0.6845774580325067,0.6817674294337487,0.56390396416971,0.6276281633332277,0.6855302862956233,0.675404073373552,0.7459052056698521,0.6584204557298682,0.7198631111841705,0.6883020699362428,0.504687830596581,0.5360917980125143,1.0,0.5953499407638347,0.5309669634092763
UNIUSDT_PERP,0.650910715244036,0.5443964887744326,0.59910461595404,0.5546192292880285,0.5692286391500798,0.6980503886096663,0.7450695954437848,0.6938101635779482,0.7007770571511927,0.7334890208420958,0.6242004987844932,0.6351424289698798,0.5953499407638347,1.0,0.45272724672702286
XRPUSDT_PERP,0.5626139048029988,0.47326874969442884,0.5151324150098093,0.3934534405842278,0.5983034808000764,0.5845056437768428,0.5442162345195594,0.5846101773258298,0.5816725171077245,0.5241356787353927,0.6080948662787121,0.41137224402485256,0.5309669634092763,0.45272724672702286,1.0
